0.005000 0 0.470000 0.800000 0.016201 0.009937 0.499600 0.235697 0.800000 0.388992 0.019329 0.806624 0.059870 
0.010000 0 0.441000 0.800000 0.029099 0.016956 0.163241 0.780255 0.800000 0.784029 0.015881 0.810993 0.036320 
0.015000 10 0.478000 0.800000 0.124571 0.042449 0.166911 0.776762 0.800000 0.999747 0.000110 0.781850 0.042535 
0.020000 23 0.461000 0.800000 0.160235 0.053797 0.016339 0.784469 0.800000 0.999975 0.000011 0.781794 0.042538 
0.025000 15 0.421000 0.800000 0.262513 0.173071 0.098094 0.695057 0.800000 0.975688 0.020920 0.788577 0.042924 
0.030000 15 0.399000 0.800000 0.268828 0.189511 -0.020531 0.697023 0.800000 0.991461 0.007989 0.784072 0.043631 
0.035000 0 0.408000 0.800000 0.266327 0.257740 -0.015553 0.338461 0.800000 0.818813 0.040593 0.793018 0.040370 
0.040000 0 0.420000 0.800000 0.257122 0.284199 0.181247 0.305790 0.800000 0.858042 0.052717 0.777153 0.055782 
0.045000 10 0.407000 0.800000 0.411707 0.337630 0.055130 0.422392 0.800000 0.989595 0.008773 0.784382 0.042247 
0.050000 6 0.395000 0.800000 0.441579 0.344430 0.025340 0.371331 0.800000 0.980127 0.018134 0.783933 0.042937 
